opportunity_id,name,type,country,min_cgpa,domicile_requirement,income_ceiling_pkr,funding_type,deadline,degree_level,field_requirement,source_url,last_verified_date
27,Global Korea Scholarship (GKS),Government of South Korea,South Korea,Bachelor's/Master's degree; age limits apply,All provinces,,"Full tuition, stipend, airfare, Korean language training",Feb-March (varies),Undergraduate/Master's/PhD,All fields,https://www.studyinkorea.go.kr,
28,Erasmus Mundus Joint Master's Scholarship (EU),European Union,European Union,Bachelor's degree; competitive selection,All provinces,,"Full tuition, travel + monthly stipend",Varies by programme (Oct-Jan typically),Master's,Varies by joint programme,https://erasmus-plus.ec.europa.eu,
29,Al-Khidmat Foundation Education Scholarship,Al-Khidmat Foundation (NGO),Pakistan,,All provinces,Financial need; orphans/deserving students prioritized,Partial to full fee support (varies by case),Rolling / announced periodically,School to University level,All disciplines,https://alkhidmat.org,
30,Shaukat Khanum Memorial Trust Education Support,Shaukat Khanum Foundation (NGO),Pakistan,,All provinces,"Financial hardship, cancer-affected families priority",Varies (case-based support),Rolling,Varies,All disciplines,https://shaukatkhanum.org.pk,
31,The Citizens Foundation (TCF) Alumni & Support Programs,The Citizens Foundation (NGO),Pakistan,,All provinces (urban low-income areas),TCF school alumni / need-based,Varies,Rolling,School to Undergraduate,All disciplines,https://www.tcf.org.pk,
32,Google Developer Scholarships / Google Career Certificates,Google (Corporate),Global / Multiple Countries,Varies by program; open application,All provinces,,Free certification + limited scholarship slots,Announced periodically,Any level (skills-based),"Computer Science, IT, Data",https://grow.google/intl/pk/scholarships,
33,Unilever Pakistan Scholarship / Future Leaders Programme,Unilever Pakistan (Corporate),Pakistan,High academic merit; leadership potential,All provinces,,Financial support + internship pathway,Announced periodically via careers page,Undergraduate/Graduate,"Business, Engineering, Sciences",https://www.unilever.com.pk/careers,
34,Engro Foundation Scholarship Program,Engro Foundation (Corporate/NGO),Pakistan,Merit-based,All provinces (priority: Sindh/Balochistan project areas),"Financial need, priority to underserved districts",Tuition + stipend support,Announced yearly,Undergraduate,"Engineering, Sciences, Business",https://engrofoundation.com,
35,Pakistan Army/Navy/Air Force Educational Scholarships,Armed Forces of Pakistan,Pakistan,Merit + medical fitness; specific entry tests,All provinces,,Tuition support / fully funded cadet programs,Varies by service branch intake,Undergraduate,"Engineering, Medical, General",https://www.joinpakarmy.gov.pk,
36,Punjab Police Shaheed/Ghazi Family Scholarship,Government of Punjab (Police Welfare),Pakistan,,Punjab,,Tuition + stipend support,Announced yearly,School to University,All disciplines,https://punjabpolice.gov.pk,
37,Sui Southern/Northern Gas Scholarship Programs,SSGC / SNGPL (Corporate CSR),Pakistan,Merit-based,Sindh / Punjab-KPK respectively,"Need-based, priority to gas-field communities",Tuition support,Announced yearly,Undergraduate,"Engineering, Sciences",https://www.ssgc.com.pk,
38,"Rhodes Scholarship (Oxford, UK)",Rhodes Trust,UK,Outstanding academic + leadership record,All provinces,,Full tuition + stipend at Oxford,Aug-Oct (varies),Master's/DPhil,All fields,https://www.rhodeshouse.ox.ac.uk,
39,Gates Cambridge Scholarship (UK),Bill & Melinda Gates Foundation / University of Cambridge,UK,Outstanding academic record,Open to all nationalities (non-UK),,"Full tuition, maintenance allowance (~£21,000/yr), travel, visa & health surcharge","Oct (US applicants) / Dec-Jan (international, varies by course)",Master's/PhD,Any subject offered at Cambridge,https://www.gatescambridge.org,
40,"Knight-Hennessy Scholars (Stanford University, USA)",Knight-Hennessy Scholars Program,USA,"Bachelor's degree, leadership potential",Open worldwide,,"Full tuition, living stipend, and travel for up to 3 years of any Stanford graduate degree",~October (varies by program),Master's/PhD/Professional,Any Stanford graduate program,https://knight-hennessy.stanford.edu,
41,"Schwarzman Scholars (Tsinghua University, China)",Schwarzman Scholars Program,China,"Bachelor's degree, leadership record",Open worldwide,,"Full tuition, stipend, travel, and all expenses for 1-year Master's in Global Affairs",~September,Master's (1 year),Global Affairs (interdisciplinary),https://www.schwarzmanscholars.org,
42,Marshall Scholarship (UK),UK Government (Marshall Aid Commemoration Commission),UK,Bachelor's degree with strong academic record,US citizens only,,"Full tuition, stipend, travel, and thesis/research grants for up to 2 years",~September-October,Master's/PhD,Any field at a UK university,https://www.marshallscholarship.org,
43,Rotary Peace Fellowship,The Rotary Foundation,Global / Multiple Countries,Bachelor's degree + relevant work/volunteer experience,Open worldwide,,"Full tuition, travel, and living expenses for Master's or professional certificate in peace studies",~May (varies by Rotary Peace Center),Master's / Professional Certificate,"Peace and conflict resolution, development studies",https://www.rotary.org/en/our-programs/peace-fellowships,
44,Rotary Foundation Global Grant Scholarships,The Rotary Foundation (via local Rotary Clubs/Districts),Global / Multiple Countries,,Open worldwide (club-sponsorship dependent),,"Typically USD 30,000+ toward tuition, travel, and living costs for graduate study",Varies by sponsoring Rotary district,Master's/Graduate,"Rotary's 7 areas of focus (health, education, water, peace, economic dev., etc.)",https://www.rotary.org/en/our-programs/global-grants-scholarships,
45,Vanier Canada Graduate Scholarships,Government of Canada,Canada,Academic excellence + leadership (nominated doctoral candidate),Open worldwide,,"CAD 50,000/year for 3 years (PhD)",~November (varies by university),PhD,"Any field, at a Canadian university",https://vanier.gc.ca,
46,Aga Khan Foundation International Scholarship Programme,Aga Khan Foundation (AKDN),Global / Multiple Countries,Outstanding academic record,Citizens of AKF priority countries (incl. Pakistan),Demonstrated financial need,50% grant + 50% interest-free loan for Master's study,~March (varies by country),Master's,Priority to development-related fields,https://www.akdn.org/akfisp,
47,Joint Japan/World Bank Graduate Scholarship Program (JJ/WBGSP),World Bank Group / Government of Japan,Japan,Bachelor's degree + 2-3 years relevant work experience,Citizens of eligible developing countries (incl. Pakistan),,"Full tuition, monthly stipend, travel, and health insurance for Master's",~April-May,Master's,"Development-related fields (economics, public policy, health, etc.)",https://www.worldbank.org/en/programs/scholarships,
48,Swiss Government Excellence Scholarships,Federal Commission for Scholarships (Switzerland),Switzerland,Master's degree completed (for PhD track); strong academic record,Open to eligible partner countries (incl. Pakistan),,"Monthly stipend (~CHF 1,920-3,000) + tuition waiver + insurance",~September-December (varies by country),PhD / Postdoctoral / Master's (arts only),All fields for PhD/postdoc research; select fields for Master's (arts),https://www.sbfi.admin.ch/scholarships_en,
49,Stipendium Hungaricum (Hungary),Government of Hungary,Hungary,Meets admission requirements of chosen Hungarian university,Citizens of partner countries (incl. Pakistan),,Full tuition waiver + monthly stipend + accommodation contribution + health insurance,~January (varies by year),Undergraduate/Master's/PhD,All fields,https://stipendiumhungaricum.hu,
50,Eiffel Excellence Scholarship Programme (France),French Ministry for Europe and Foreign Affairs / Campus France,France,,Open worldwide,,"Monthly stipend (~€1,181 Master's / €1,700 PhD) + travel + cultural activities",~January,Master's/PhD,"Priority: engineering, economics/management, law/political science",https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,
51,Holland Scholarship (Netherlands),Dutch Government + participating Dutch universities,Netherlands,Admitted to a participating Dutch university (Bachelor's or Master's),"Non-EU/EEA students, open worldwide",,"One-time €5,000 grant (partial funding)",~January-May (varies by university),Undergraduate/Master's,All fields,https://www.studyinholland.nl/finances/holland-scholarship,
52,Netherlands Fellowship Programme (NFP),Nuffic (Dutch Ministry of Foreign Affairs),Netherlands,,Citizens of NFP-eligible developing countries (incl. Pakistan),,"Full tuition, travel, and living allowance for short courses and Master's",Varies by course/round,Short Course / Master's,"Priority: food security, water, security & rule of law, SRHR",https://www.nuffic.nl/en/subjects/nfp,
53,New Zealand Manaaki Scholarships,New Zealand Ministry of Foreign Affairs and Trade,New Zealand,Relevant work experience often required,Citizens of eligible developing countries,,"Full tuition, living stipend, travel, and insurance",~February (varies by round),Master's/PhD,"Priority: agriculture, renewable energy, education, health, governance",https://www.mfat.govt.nz/en/aid-and-development/nzscholarships,
54,Singapore International Graduate Award (SINGA),"A*STAR, Singapore",Singapore,Bachelor's degree with strong research background,Open worldwide,,"Monthly stipend (~SGD 2,800+), tuition support, airfare, conference travel",~December (rounds vary),PhD,Science and Engineering (PhD research),https://www.a-star.edu.sg/singa,
55,Malaysian International Scholarship (MIS),"Ministry of Higher Education, Malaysia",Malaysia,Excellent academic record; admission to a Malaysian public/private university,Open worldwide (incl. Pakistan),,"Tuition fees, monthly stipend, airfare, and health insurance",Varies (rounds through the year),Master's/PhD,"Priority: science, technology, and other national-priority fields",https://www.mohe.gov.my,
56,ETH Zurich Excellence Scholarship & Opportunity Programme,ETH Zurich (Switzerland),Switzerland,Top 10% of graduating class; outstanding Bachelor's results,Open worldwide,,"CHF 12,000-14,000/semester stipend + tuition fee waiver",~December,Master's,All Master's programs at ETH Zurich,https://ethz.ch/en/studies/financial/scholarships/excellence-scholarship.html,
57,"Clarendon Fund Scholarships (University of Oxford, UK)",University of Oxford,UK,Academic excellence; automatically considered with graduate application,Open worldwide,,"Full tuition fees + living stipend (~£20,000+/year)",~January (aligned with Oxford admission deadlines),Master's/PhD,All subjects at Oxford,https://www.ox.ac.uk/clarendon,
58,Cambridge Trust International Scholarships (UK),University of Cambridge / Cambridge Trust,UK,Academic excellence; admission to a Cambridge course required,Open worldwide,,Full or partial funding (tuition + maintenance) for postgraduate study,"Varies (Nov-Jan, aligned with course deadlines)",Master's/PhD,All subjects at Cambridge,https://www.cambridgetrust.org,
59,"Yenching Academy Scholarship (Peking University, China)",Yenching Academy of Peking University,China,Bachelor's degree in any field; strong academic and leadership record,Open worldwide,,"Full tuition, stipend, accommodation, and round-trip airfare",~December,Master's (2 years),China Studies (interdisciplinary Master's),https://yenchingacademy.pku.edu.cn,
60,ADB-Japan Scholarship Program (ADB-JSP),Asian Development Bank / Government of Japan,Japan,Admission to a partner university,Citizens of ADB developing member countries,,"Full tuition, stipend, housing, and medical insurance for Master's study",Varies by partner university,Master's,"Economics, management, science and technology, and other development fields",https://www.adb.org/site/careers/adb-japan-scholarship-program,
61,OFID Scholarship Award,OPEC Fund for International Development,Global / Multiple Countries,Admission to an accredited university,Citizens of OFID partner countries (incl. Pakistan),,"Up to USD 50,000 toward Master's study",~March,Master's,Development-related fields,https://opecfund.org/scholarship,
62,Commonwealth Distance Learning Scholarships (UK),Commonwealth Scholarship Commission,UK,,Commonwealth country citizens (incl. Pakistan),,Full tuition fees for part-time distance-learning Master's programs,~March,Master's (distance learning),Priority: development-related subjects,https://cscuk.fcdo.gov.uk,
63,"Skoll Scholarship (Saïd Business School, Oxford)",Skoll Foundation,UK,Entrepreneurial leadership experience; admitted to the Oxford MBA,Open worldwide,,Full tuition + living stipend for the Oxford MBA,~January (tied to Oxford MBA admission rounds),MBA,MBA / Social Entrepreneurship,https://www.sbs.ox.ac.uk/programmes/mbas/mba/fees-and-funding/skoll-scholarships,
64,Weidenfeld-Hoffmann Scholarships and Leadership Programme (Oxford),Weidenfeld-Hoffmann Trust,UK,Leadership potential,Citizens of developing/transition countries (incl. Pakistan),,Full tuition + stipend for a Master's degree at Oxford,~January,Master's,Any subject except the MBA,https://www.wolfson.ox.ac.uk/weidenfeld-hoffmann-scholarships-and-leadership-programme,
65,Hubert H. Humphrey Fellowship Program (USA),US Department of State / Fulbright,USA,Mid-career professional with 5+ years of experience; leadership potential,Open to eligible countries worldwide (incl. Pakistan),,Full funding for a non-degree year of professional development at a US university,~October (via USEFP in Pakistan),Non-degree Fellowship (1 year),"Public policy, journalism, public health, agriculture, and other public-service fields",https://www.humphreyfellowship.org,
66,Global Undergraduate Exchange Program (Global UGRAD),US Department of State / World Learning,Global / Multiple Countries,Current undergraduate student; strong English proficiency preferred,Open to eligible countries worldwide (incl. Pakistan),,"Full funding for a one-year, non-degree exchange at a US college",~February (via USEFP in Pakistan),"Undergraduate exchange (1 year, non-degree)",Any field (non-degree coursework),https://www.worldlearning.org/program/global-ugrad/,
67,UNESCO Co-Sponsored/Participation Fellowships,UNESCO,Global / Multiple Countries,,Open to UNESCO member states worldwide (incl. Pakistan),,"Varies by fellowship (short-term training, research grants)",Varies by fellowship cycle,Short-term training/research,"Education, science, culture, communication",https://www.unesco.org/en/fellowships,
68,Mastercard Foundation Scholars Program,Mastercard Foundation,Global / Multiple Countries,Academic merit + leadership potential,Primarily African students; some partner universities open more broadly,Financial need,"Full tuition, accommodation, stipend, and mentorship",Varies by partner university,Undergraduate/Master's,"All fields, at partner universities",https://mastercardfdn.org/scholars/,
69,Obama Foundation Scholars Program,Obama Foundation (Columbia University & University of Hawaii),Global / Multiple Countries,Emerging civic leader with community impact experience (typically age 24-45),Open worldwide,,"Full tuition, stipend, and housing for a one-year non-degree program",~February,Non-degree Fellowship (1 year),"Civic leadership, public affairs, community organizing",https://www.obama.org/programs/obama-foundation-scholars/,
70,UWC Davis Scholars Program,Davis United World College Scholars Program,Global / Multiple Countries,Completion of a United World College (UWC) diploma,Open to UWC alumni worldwide,,Need-based scholarships covering tuition at partner US colleges,Tied to UWC admission cycle,Undergraduate,All fields,https://davisuwcscholars.org,
71,Humboldt Research Fellowship (Germany),Alexander von Humboldt Foundation,Germany,PhD completed within the last 4 years (postdoc) or established researcher,Open worldwide,,"Monthly stipend (~€2,670-3,170) + travel + family/language allowances",Rolling (apply anytime),Postdoctoral Research Fellowship,All fields (research-based),https://www.humboldt-foundation.de,
72,Swedish Institute Scholarships for Global Professionals (SISGP),Swedish Institute (Government of Sweden),Sweden,"~3,000 hours of work/leadership experience; admitted to an eligible Master's",Citizens of ~30-40 eligible countries (check current list),,"Full tuition, monthly living allowance (~SEK 12,000), travel grant, and insurance",~mid-February (short ~10-day application window),Master's (1-2 years),"Broad range: social sciences, STEM, humanities, environment, public health",https://si.se/en/apply/scholarships/,
73,Government of Ireland International Education Scholarships,"Higher Education Authority, Ireland",Ireland,Excellent academic record; admission to an eligible Irish university,Open worldwide,,"€10,000 stipend + tuition fee waiver for one year",~March,Undergraduate/Master's/PhD,All fields,https://hea.ie/policy/access-policy/goi-ies/,
74,Italian Government Scholarships for Foreign Students,Italian Ministry of Foreign Affairs (MAECI),Italy,Admission to an Italian university/academy; age and degree-level criteria apply,Open worldwide (incl. Pakistan),,Monthly stipend (~€900) + tuition waiver at public Italian universities,~April-May (via Italian Embassy),Undergraduate/Master's/PhD/Research,"All fields, including art, music, and research",https://www.esteri.it/en/opportunita/borse_studio_stranieri/,
75,OeAD Ernst Mach Grant (Austria),OeAD - Austrian Agency for Education and Internationalisation,Austria,Enrolled in or admitted to a Master's/PhD program; strong academic record,Open worldwide (incl. Pakistan),,"Monthly stipend (~€1,150) for study/research stays in Austria",~March or September (two rounds),Master's/PhD/Research stay,All fields,https://oead.at/en/to-austria/scholarships-grants,
76,Finland Government Scholarship Pool,Finnish National Agency for Education (EDUFI),Finland,Admitted to a Finnish university,Open worldwide (incl. Pakistan),,"Grant of ~€1,500 per semester (tuition-fee students only)",~January (tied to university admission),Master's/PhD,All fields at partner Finnish universities,https://www.oph.fi/en/finland-scholarship,
77,VLIR-UOS Scholarships (Belgium),Flemish Interuniversity Council (VLIR-UOS),Belgium,Relevant work experience preferred,Citizens of VLIR-UOS partner countries,,"Full tuition, living allowance, insurance, and travel for Master's/training",~mid-January (varies by programme),Master's / Training Programme,Priority: sustainable development-related fields,https://www.vliruos.be/en/scholarships,
78,P.E.O. International Peace Scholarship (Women),P.E.O. Sisterhood (USA/Canada),USA,,Open worldwide (women only),,"Need-based grant (typically up to USD 12,500) toward graduate study",~varies (check regional chapter),Master's/PhD,All fields,https://www.peointernational.org/about-peo-international-peace-scholarship-ips,
79,"AAUW International Fellowship (Women, USA)",American Association of University Women (AAUW),USA,Strong academic record,Open worldwide (women only),,"USD 20,000-50,000 depending on degree level",~November-December,Master's/PhD/Postdoctoral,All fields,https://www.aauw.org/resources/programs/fellowships-grants/,
